what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458324909621
error,log,,,"Error logged from Debug Core: ",1458324910496
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458324912711
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458327049336
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1458327106593
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1458327107088
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1458327107114
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1458327107143
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1458327107174
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1458327107204
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1458327107235
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1458327107265
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1458327107296
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1458327107325
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1458327107356
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1458327107386
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1458327107417
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1458327107446
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1458327107476
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1458327107506
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1458327107536
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1458327107566
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1458327107596
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1458327107626
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1458327107814
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1458327108005
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1458327108188
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1458327108384
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1458327108588
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1458327108777
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1458327109028
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1458327109349
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1458327109627
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458327131099
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458327133161
error,log,,,"Error logged from Debug Core: ",1458327133827
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458327142142
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458327143669
error,log,,,"Error logged from Debug Core: ",1458327144111
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458327149591
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458327150657
error,log,,,"Error logged from Debug Core: ",1458327151063
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458327153577
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458327210750
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1458327214516
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458327264184
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458327265353
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458327265847
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458327267238
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458327267931
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458327324382
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458327343657
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458327345122
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458327345521
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458327348294
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1458327354121
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458327362454
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458327363575
error,log,,,"Error logged from Debug Core: ",1458327363927
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1458327367152
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458327372240
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458327373686
error,log,,,"Error logged from Debug Core: ",1458327374051
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458327389649
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458327391145
error,log,,,"Error logged from Debug Core: ",1458327391488
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458327400706
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458330035500
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458330057159
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458330059657
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458330060452
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458330064419
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1458330066462
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458330072224
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458330073724
error,log,,,"Error logged from Debug Core: ",1458330074184
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458330077184
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458330494495
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458330496063
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458330586389
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458330613236
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458330617939
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458330620558
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458330621825
error,log,,,"Error logged from Debug Core: ",1458330622320
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458330630473
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458330631432
error,log,,,"Error logged from Debug Core: ",1458330631848
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458330724469
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458330752133
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458330756751
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458330770457
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1458330814480
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458330816188
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458330817464
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458330817907
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458330819456
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458330823295
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458330824380
error,log,,,"Error logged from Debug Core: ",1458330824753
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1458330843017
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1458330847920
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1458330848717
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1458330849194
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1458330850257
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1458330857670
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1458330857699
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1458330866836
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1458330866983
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1458330868620
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1458330868773
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1458330868903
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1458330869305
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458330876384
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458330877506
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458330877835
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458330879692
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458330885747
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458330887477
error,log,,,"Error logged from Debug Core: ",1458330887832
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458330904524
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458331128418
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458331132696
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.help.aboutAction",1458331762825
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458331762840
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1458331788847
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458331791477
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458331792608
error,log,,,"Error logged from Debug Core: ",1458331793141
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458331835838
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458332734853
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458332735575
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458332960393
activated,perspective,org.eclipse.cdt.ui,,"org.eclipse.cdt.ui.CPerspective",1458523594665
started,bundle,org.eclipse.osgi,3.6.0.v20100517,"org.eclipse.osgi",1458523594666
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1458523594667
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1458523594667
started,bundle,org.eclipse.cdt.core,5.2.0.201006141710,"org.eclipse.cdt.core",1458523594667
started,bundle,org.eclipse.cdt.make.core,7.0.0.201006141710,"org.eclipse.cdt.make.core",1458523594668
started,bundle,org.eclipse.cdt.make.ui,7.0.0.201006141710,"org.eclipse.cdt.make.ui",1458523594668
started,bundle,org.eclipse.cdt.managedbuilder.core,7.0.0.201006141710,"org.eclipse.cdt.managedbuilder.core",1458523594669
started,bundle,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui",1458523594669
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1458523594669
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1458523594670
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1458523594710
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1458523594710
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1458523594710
started,bundle,org.eclipse.core.filesystem,1.3.0.v20100526-0737,"org.eclipse.core.filesystem",1458523594711
started,bundle,org.eclipse.core.jobs,3.5.0.v20100515,"org.eclipse.core.jobs",1458523594711
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1458523594712
started,bundle,org.eclipse.core.resources,3.6.0.v20100526-0737,"org.eclipse.core.resources",1458523594779
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1458523594780
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1458523594780
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1458523594780
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1458523594781
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1458523594781
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.0.R201005261100,"org.eclipse.epp.usagedata.gathering",1458523594782
started,bundle,org.eclipse.epp.usagedata.recording,1.3.0.R201005261100,"org.eclipse.epp.usagedata.recording",1458523594782
started,bundle,org.eclipse.equinox.app,1.3.0.v20100512,"org.eclipse.equinox.app",1458523594783
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1458523594783
started,bundle,org.eclipse.equinox.ds,1.2.0.v20100507,"org.eclipse.equinox.ds",1458523594783
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1458523594784
started,bundle,org.eclipse.equinox.p2.core,2.0.0.v20100510,"org.eclipse.equinox.p2.core",1458523594784
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.200.v20100601,"org.eclipse.equinox.p2.directorywatcher",1458523594785
started,bundle,org.eclipse.equinox.p2.engine,2.0.0.v20100606,"org.eclipse.equinox.p2.engine",1458523594786
started,bundle,org.eclipse.equinox.p2.metadata,2.0.0.v20100601,"org.eclipse.equinox.p2.metadata",1458523594857
