what,kind,bundleId,bundleVersion,description,time
java.runtime.version,sysinfo,,,"1.7.0_95-b00",1458523595059
java.specification.name,sysinfo,,,"Java Platform API Specification",1458523595059
java.specification.vendor,sysinfo,,,"Oracle Corporation",1458523595059
java.specification.version,sysinfo,,,"1.7",1458523595059
java.vendor,sysinfo,,,"Oracle Corporation",1458523595059
java.version,sysinfo,,,"1.7.0_95",1458523595059
java.vm.info,sysinfo,,,"mixed mode",1458523595059
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1458523595059
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1458523595059
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1458523595059
java.vm.specification.version,sysinfo,,,"1.7",1458523595059
java.vm.vendor,sysinfo,,,"Oracle Corporation",1458523595059
java.vm.version,sysinfo,,,"24.95-b01",1458523595059
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1458523595362
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1458523595404
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1458523595422
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1458523595520
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1458523595522
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458523598443
started,bundle,org.eclipse.equinox.p2.ui,2.0.0.v20100518,"org.eclipse.equinox.p2.ui",1458523602732
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1458523602760
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1458523606866
started,bundle,org.eclipse.equinox.security.ui,1.0.200.v20100503,"org.eclipse.equinox.security.ui",1458523617355
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.help.aboutAction",1458523627172
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458523627206
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458523629179
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458524425471
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458524427398
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458525025233
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458525026305
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458526626741
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458526627612
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458531105980
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458531107696
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.2.v20100608-0100-e3x,"org.eclipse.cdt.mylyn.ui",1458531109622
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1458531110058
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201006141710,"org.eclipse.cdt.debug.mi.ui",1458531111840
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.0.201006141710,"org.eclipse.cdt.debug.mi.core",1458531111840
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.0.201006141710,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1458531111840
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201006141710,"org.eclipse.cdt.debug.ui.memory.search",1458531111840
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201006141710,"org.eclipse.cdt.dsf.gdb.ui",1458531111840
stopped,bundle,org.eclipse.cdt.dsf.ui,2.1.0.201006141710,"org.eclipse.cdt.dsf.ui",1458531111840
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201006141710,"org.eclipse.cdt.gdb.ui",1458531111841
stopped,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201006141710,"org.eclipse.cdt.dsf.gdb",1458531111841
stopped,bundle,org.eclipse.cdt.launch,6.1.0.201006141710,"org.eclipse.cdt.launch",1458531111841
stopped,bundle,org.eclipse.cdt.debug.ui,7.0.0.201006141710,"org.eclipse.cdt.debug.ui",1458531111841
stopped,bundle,org.eclipse.cdt.debug.ui.memory.traditional,1.2.0.201006141710,"org.eclipse.cdt.debug.ui.memory.traditional",1458531111841
stopped,bundle,org.eclipse.cdt.dsf,2.1.0.201006141710,"org.eclipse.cdt.dsf",1458531111841
stopped,bundle,org.eclipse.cdt.debug.core,7.0.0.201006141710,"org.eclipse.cdt.debug.core",1458531111841
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201006141710,"org.eclipse.cdt.managedbuilder.ui",1458531111841
stopped,bundle,org.eclipse.cdt.make.ui,7.0.0.201006141710,"org.eclipse.cdt.make.ui",1458531111844
stopped,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201006141710,"org.eclipse.cdt.managedbuilder.gnu.ui",1458531111844
stopped,bundle,org.eclipse.cdt.managedbuilder.core,7.0.0.201006141710,"org.eclipse.cdt.managedbuilder.core",1458531111962
stopped,bundle,org.eclipse.cdt.make.core,7.0.0.201006141710,"org.eclipse.cdt.make.core",1458531111963
stopped,bundle,org.eclipse.cdt.mylyn.ui,1.1.2.v20100608-0100-e3x,"org.eclipse.cdt.mylyn.ui",1458531111977
stopped,bundle,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui",1458531112001
stopped,bundle,org.eclipse.cdt.core,5.2.0.201006141710,"org.eclipse.cdt.core",1458531112013
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1458531112014
