what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1459093927107
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1459093927107
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1459093927108
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1459093927109
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1459093927110
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1459093927110
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1459093927111
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1459093927111
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1459093927112
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1459093927112
os,sysinfo,,,"linux",1459093927114
arch,sysinfo,,,"x86_64",1459093927115
ws,sysinfo,,,"gtk",1459093927115
locale,sysinfo,,,"pt_BR",1459093927115
processors,sysinfo,,,"4",1459093927115
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1459093927115
java.runtime.version,sysinfo,,,"1.7.0_95-b00",1459093927115
java.specification.name,sysinfo,,,"Java Platform API Specification",1459093927115
java.specification.vendor,sysinfo,,,"Oracle Corporation",1459093927115
java.specification.version,sysinfo,,,"1.7",1459093927115
java.vendor,sysinfo,,,"Oracle Corporation",1459093927115
java.version,sysinfo,,,"1.7.0_95",1459093927115
java.vm.info,sysinfo,,,"mixed mode",1459093927115
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1459093927115
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1459093927115
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1459093927115
java.vm.specification.version,sysinfo,,,"1.7",1459093927115
java.vm.vendor,sysinfo,,,"Oracle Corporation",1459093927115
java.vm.version,sysinfo,,,"24.95-b01",1459093927115
closed,editor,,,"org.eclipse.jdt.ui.CompilationUnitEditor",1459093928299
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1459093932055
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.edit.text.openLocalFile",1459093934545
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1459093934547
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1459093940285
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1459093951993
started,bundle,org.eclipse.cdt.make.core,7.0.0.201006141710,"org.eclipse.cdt.make.core",1459093952161
started,bundle,org.eclipse.cdt.managedbuilder.core,7.0.0.201006141710,"org.eclipse.cdt.managedbuilder.core",1459093952289
started,bundle,org.eclipse.cdt.core,5.2.0.201006141710,"org.eclipse.cdt.core",1459093952371
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1459093952452
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1459093952486
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1459093952643
started,bundle,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui",1459093952720
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1459093953034
started,bundle,org.eclipse.cdt.make.ui,7.0.0.201006141710,"org.eclipse.cdt.make.ui",1459093953052
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1459093953173
started,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201006141710,"org.eclipse.cdt.managedbuilder.ui",1459093953307
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201006141710,"org.eclipse.cdt.managedbuilder.gnu.ui",1459093953588
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1459093963613
started,bundle,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.resources",1459093963642
opened,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1459093964110
opened,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1459093964307
opened,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1459093964503
activated,perspective,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.CPerspective",1459093964584
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1459093964590
